PARTIDO,CANTIDAD_OCR,CENTRO_DE_VOTACIÃ“N,MESA,CANTIDAD_TREP,DIFERENCIA
VALOR UNIONISTA,42,47,604,0,42
CREO,59,47,604,0,59
VALOR UNIONISTA,37,120,1688,0,37
CREO,65,120,1688,0,65
VALOR UNIONISTA,45,47,599,0,45
CREO,66,47,599,0,66
VALOR UNIONISTA,49,19,242,0,49
CREO,45,19,242,0,45
CREO,60,75,953,0,60
VALOR UNIONISTA,66,118,1649,0,66
CREO,69,118,1649,0,69
VALOR UNIONISTA,39,100,1319,0,39
CREO,53,100,1319,0,53
CREO,67,88,1157,7,60
VALOR UNIONISTA,3,130,1834,0,3
CREO,8,130,1834,0,8
VALOR UNIONISTA,69,30,368,0,69
CREO,50,30,368,0,50
CREO,91,102,1335,1,90
